epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,
0,,350,,,0.4772000014781952,1.4674655199050903
0,,350,0.3704594075679779,1.740714192390442,,
,0.0003,351,,,,
1,,701,,,0.5081999897956848,1.3923200368881226
1,,701,0.4635861814022064,1.4752671718597412,,
,0.0003,702,,,,
2,,1052,,,0.5324000120162964,1.316424012184143
2,,1052,0.49788549542427063,1.391756296157837,,
,0.0003,1053,,,,
3,,1403,,,0.5605999827384949,1.253614902496338
3,,1403,0.5216791033744812,1.3285216093063354,,
,0.0003,1404,,,,
4,,1754,,,0.571399986743927,1.208759069442749
4,,1754,0.5359908938407898,1.2833176851272583,,
,0.0003,1755,,,,
5,,2105,,,0.5630000233650208,1.2202808856964111
5,,2105,0.5503472089767456,1.2467443943023682,,
,0.0003,2106,,,,
6,,2456,,,0.5853999853134155,1.1686716079711914
6,,2456,0.5643251538276672,1.2115058898925781,,
,0.0003,2457,,,,
7,,2807,,,0.5932000279426575,1.1429120302200317
7,,2807,0.5735176205635071,1.187944769859314,,
,0.0003,2808,,,,
8,,3158,,,0.599399983882904,1.1302361488342285
8,,3158,0.5872061848640442,1.1572849750518799,,
,0.0003,3159,,,,
9,,3509,,,0.5996000170707703,1.1244070529937744
9,,3509,0.5881187915802002,1.142393946647644,,
,0.0003,3510,,,,
10,,3860,,,0.5982000231742859,1.134411334991455
10,,3860,0.5996928215026855,1.1147781610488892,,
,0.0003,3861,,,,
11,,4211,,,0.6237999796867371,1.0668729543685913
11,,4211,0.6112223863601685,1.089979648590088,,
,0.0003,4212,,,,
12,,4562,,,0.6294000148773193,1.0520294904708862
12,,4562,0.6139823794364929,1.0767910480499268,,
,0.0003,4563,,,,
13,,4913,,,0.6338000297546387,1.0568299293518066
13,,4913,0.622885525226593,1.0526031255722046,,
,0.0003,4914,,,,
14,,5264,,,0.6287999749183655,1.0517016649246216
14,,5264,0.6289619207382202,1.0356435775756836,,
,0.0003,5265,,,,
15,,5615,,,0.6349999904632568,1.0293653011322021
15,,5615,0.6378650069236755,1.0173360109329224,,
,0.0003,5616,,,,
16,,5966,,,0.6442000269889832,1.017486810684204
16,,5966,0.6406695246696472,1.0028177499771118,,
,0.0003,5967,,,,
17,,6317,,,0.6420000195503235,1.0233800411224365
17,,6317,0.6494613885879517,0.9818291068077087,,
,0.0003,6318,,,,
18,,6668,,,0.6514000296592712,1.0067769289016724
18,,6668,0.6560051441192627,0.96275395154953,,
,0.0003,6669,,,,
19,,7019,,,0.651199996471405,1.0051171779632568
19,,7019,0.6611689925193787,0.9516476392745972,,
,0.0003,7020,,,,
20,,7370,,,0.6549999713897705,0.9848933815956116
20,,7370,0.6638844609260559,0.9391830563545227,,
,0.0003,7371,,,,
21,,7721,,,0.6620000004768372,0.9728705883026123
21,,7721,0.6717414259910583,0.9203305244445801,,
,0.0003,7722,,,,
22,,8072,,,0.6611999869346619,0.9643875956535339
22,,8072,0.6752804517745972,0.9067807793617249,,
,0.0003,8073,,,,
23,,8423,,,0.6660000085830688,0.9688798785209656
23,,8423,0.6822248697280884,0.8893513679504395,,
,0.0003,8424,,,,
24,,8774,,,0.6624000072479248,0.9510278105735779
24,,8774,0.6841613054275513,0.881843090057373,,
,0.0003,8775,,,,
25,,9125,,,0.6629999876022339,0.9660875797271729
25,,9125,0.6954460740089417,0.858604907989502,,
,0.0003,9126,,,,
26,,9476,,,0.6808000206947327,0.9261384010314941
26,,9476,0.6961582899093628,0.8526444435119629,,
,0.0003,9477,,,,
27,,9827,,,0.6722000241279602,0.9473609328269958
27,,9827,0.7015892267227173,0.837245762348175,,
,0.0003,9828,,,,
28,,10178,,,0.6725999712944031,0.9333078265190125
28,,10178,0.7059072256088257,0.8271451592445374,,
,0.0003,10179,,,,
29,,10529,,,0.6815999746322632,0.9200506806373596
29,,10529,0.7087339758872986,0.8118447065353394,,
,0.0003,10530,,,,
30,,10880,,,0.6765999794006348,0.958686351776123
30,,10880,0.7120949029922485,0.8004800081253052,,
,0.0003,10881,,,,
31,,11231,,,0.6832000017166138,0.9127858281135559
31,,11231,0.71964031457901,0.7847525477409363,,
,0.0003,11232,,,,
32,,11582,,,0.6904000043869019,0.900400698184967
32,,11582,0.7238025069236755,0.7722641229629517,,
,0.0003,11583,,,,
33,,11933,,,0.6836000084877014,0.9002044200897217
33,,11933,0.7309473156929016,0.7539830803871155,,
,0.0003,11934,,,,
34,,12284,,,0.6862000226974487,0.9012056589126587
34,,12284,0.731370210647583,0.7485328316688538,,
,0.0003,12285,,,,
35,,12635,,,0.6905999779701233,0.9184363484382629
35,,12635,0.7380920648574829,0.7329542636871338,,
,0.0003,12636,,,,
36,,12986,,,0.694599986076355,0.8821941614151001
36,,12986,0.7424991130828857,0.7232071757316589,,
,0.0003,12987,,,,
37,,13337,,,0.6919999718666077,0.8985787034034729
37,,13337,0.7456151843070984,0.7100894451141357,,
,0.0003,13338,,,,
38,,13688,,,0.6937999725341797,0.8893359303474426
38,,13688,0.7483751773834229,0.7007360458374023,,
,0.0003,13689,,,,
39,,14039,,,0.7044000029563904,0.8723829984664917
39,,14039,0.7542290091514587,0.6892657279968262,,
,0.0003,14040,,,,
40,,14390,,,0.699999988079071,0.8974871039390564
40,,14390,0.7554754018783569,0.6812501549720764,,
,0.0003,14391,,,,
41,,14741,,,0.7003999948501587,0.8988979458808899
41,,14741,0.7601495981216431,0.6694548726081848,,
,0.0003,14742,,,,
42,,15092,,,0.698199987411499,0.8791090846061707
42,,15092,0.7628205418586731,0.6660071611404419,,
,0.0003,15093,,,,
43,,15443,,,0.7034000158309937,0.8619748950004578
43,,15443,0.7678730487823486,0.6509518027305603,,
,0.0003,15444,,,,
44,,15794,,,0.7013999819755554,0.8983011841773987
44,,15794,0.7679175734519958,0.6389679312705994,,
,0.0003,15795,,,,
45,,16145,,,0.7089999914169312,0.8757197260856628
45,,16145,0.7720130085945129,0.6277629137039185,,
,0.0003,16146,,,,
46,,16496,,,0.7017999887466431,0.9193786978721619
46,,16496,0.7774661779403687,0.620176374912262,,
,0.0003,16497,,,,
47,,16847,,,0.7077999711036682,0.8789401650428772
47,,16847,0.7756410241127014,0.6238711476325989,,
,0.0003,16848,,,,
48,,17198,,,0.7074000239372253,0.8649188280105591
48,,17198,0.7817174196243286,0.6050633192062378,,
,0.0003,17199,,,,
49,,17549,,,0.7116000056266785,0.8879919052124023
49,,17549,0.7880386114120483,0.5942155122756958,,
,0.0003,17550,,,,
50,,17900,,,0.7107999920845032,0.8783812522888184
50,,17900,0.7902421355247498,0.5809769630432129,,
,0.0003,17901,,,,
51,,18251,,,0.7081999778747559,0.8990848660469055
51,,18251,0.7933582663536072,0.5792199969291687,,
,0.0003,18252,,,,
52,,18602,,,0.7020000219345093,0.9069559574127197
52,,18602,0.7948272824287415,0.5659346580505371,,
,0.0003,18603,,,,
53,,18953,,,0.7075999975204468,0.9224786162376404
53,,18953,0.7978543639183044,0.5646679401397705,,
,0.0003,18954,,,,
54,,19304,,,0.7088000178337097,0.8915314674377441
54,,19304,0.8016158938407898,0.5557690262794495,,
,0.0003,19305,,,,
55,,19655,,,0.7143999934196472,0.8902214765548706
55,,19655,0.8047097325325012,0.5407314300537109,,
,0.0003,19656,,,,
56,,20006,,,0.7156000137329102,0.8952357172966003
56,,20006,0.8066461682319641,0.5394204258918762,,
,0.0003,20007,,,,
57,,20357,,,0.7142000198364258,0.8997458219528198
57,,20357,0.809116780757904,0.5308268666267395,,
,0.0003,20358,,,,
58,,20708,,,0.7067999839782715,0.8923400640487671
58,,20708,0.8120548725128174,0.5202159881591797,,
,0.0003,20709,,,,
59,,21059,,,0.7095999717712402,0.884720504283905
59,,21059,0.8170406222343445,0.5122713446617126,,
,0.0003,21060,,,,
60,,21410,,,0.7185999751091003,0.9035280346870422
60,,21410,0.8163505792617798,0.5100080370903015,,
,0.0003,21411,,,,
61,,21761,,,0.7247999906539917,0.8691226840019226
61,,21761,0.8177751302719116,0.5035596489906311,,
,0.0003,21762,,,,
62,,22112,,,0.7164000272750854,0.8980011940002441
62,,22112,0.8214253783226013,0.493881493806839,,
,0.0003,22113,,,,
63,,22463,,,0.7157999873161316,0.88861483335495
63,,22463,0.8240517973899841,0.48877769708633423,,
,0.0003,22464,,,,
64,,22814,,,0.722000002861023,0.8913395404815674
64,,22814,0.8317307829856873,0.4716379642486572,,
,0.0003,22815,,,,
65,,23165,,,0.7102000117301941,0.9322547912597656
65,,23165,0.8313078880310059,0.47494345903396606,,
,0.0003,23166,,,,
66,,23516,,,0.718999981880188,0.9078739285469055
66,,23516,0.8365829586982727,0.4593435525894165,,
,0.0003,23517,,,,
67,,23867,,,0.7089999914169312,0.9061768651008606
67,,23867,0.8352029919624329,0.46073105931282043,,
,0.0003,23868,,,,
68,,24218,,,0.7221999764442444,0.8998841643333435
68,,24218,0.8361600637435913,0.45524367690086365,,
,0.0003,24219,,,,
69,,24569,,,0.7196000218391418,0.9115349650382996
69,,24569,0.8383413553237915,0.44519728422164917,,
,0.0003,24570,,,,
70,,24920,,,0.7164000272750854,0.907704770565033
70,,24920,0.8412126302719116,0.4411182403564453,,
,0.0003,24921,,,,
71,,25271,,,0.7174000144004822,0.9447356462478638
71,,25271,0.8440170884132385,0.4344685971736908,,
,0.0003,25272,,,,
72,,25622,,,0.718999981880188,0.9303321242332458
72,,25622,0.8464431762695312,0.42755836248397827,,
,0.0003,25623,,,,
73,,25973,,,0.7175999879837036,0.9380884766578674
73,,25973,0.8456864356994629,0.4268645942211151,,
,0.0003,25974,,,,
74,,26324,,,0.7229999899864197,0.9217109084129333
74,,26324,0.8497151136398315,0.41932666301727295,,
,0.0003,26325,,,,
75,,26675,,,0.7178000211715698,0.9285518527030945
75,,26675,0.8530982732772827,0.41133931279182434,,
,0.0003,26676,,,,
76,,27026,,,0.7148000001907349,0.9446842074394226
76,,27026,0.8528757095336914,0.4062249958515167,,
,0.0003,27027,,,,
77,,27377,,,0.7275999784469604,0.9419552683830261
77,,27377,0.8561475872993469,0.3950302302837372,,
,0.0003,27378,,,,
78,,27728,,,0.7251999974250793,0.9471692442893982
78,,27728,0.8568820953369141,0.39525294303894043,,
,0.0003,27729,,,,
79,,28079,,,0.7251999974250793,0.9282674789428711
79,,28079,0.8595753312110901,0.39118391275405884,,
,0.0003,28080,,,,
80,,28430,,,0.7260000109672546,0.9426924586296082
80,,28430,0.8603543639183044,0.3878328502178192,,
,0.0003,28431,,,,
81,,28781,,,0.7246000170707703,0.9366345405578613
81,,28781,0.8613559603691101,0.38529497385025024,,
,0.0003,28782,,,,
82,,29132,,,0.7283999919891357,0.9218634963035583
82,,29132,0.865050733089447,0.3704453706741333,,
,0.0003,29133,,,,
83,,29483,,,0.7246000170707703,0.94146728515625
83,,29483,0.865963339805603,0.3733045756816864,,
,0.0003,29484,,,,
84,,29834,,,0.7221999764442444,0.9644466638565063
84,,29834,0.8660746216773987,0.36991965770721436,,
,0.0003,29835,,,,
85,,30185,,,0.7242000102996826,0.9621937274932861
85,,30185,0.8706820011138916,0.363511860370636,,
,0.0003,30186,,,,
86,,30536,,,0.72079998254776,0.968626081943512
86,,30536,0.8718616366386414,0.3558827340602875,,
,0.0003,30537,,,,
87,,30887,,,0.722000002861023,0.9587332010269165
87,,30887,0.8778489828109741,0.34777915477752686,,
,0.0003,30888,,,,
88,,31238,,,0.7260000109672546,0.964354395866394
88,,31238,0.8737980723381042,0.35042881965637207,,
,0.0003,31239,,,,
89,,31589,,,0.7211999893188477,0.9738909006118774
89,,31589,0.8770477175712585,0.3380551338195801,,
,0.0003,31590,,,,
90,,31940,,,0.7246000170707703,0.9680761694908142
90,,31940,0.8764690160751343,0.342036634683609,,
,0.0003,31941,,,,
91,,32291,,,0.7264000177383423,0.9736117124557495
91,,32291,0.8811209201812744,0.3335018754005432,,
,0.0003,32292,,,,
92,,32642,,,0.7283999919891357,0.9726318120956421
92,,32642,0.8817886114120483,0.32676562666893005,,
,0.0003,32643,,,,
93,,32993,,,0.7324000000953674,0.9599969983100891
93,,32993,0.8817441463470459,0.32858753204345703,,
,0.0003,32994,,,,
94,,33344,,,0.7184000015258789,0.9977566599845886
94,,33344,0.8826344609260559,0.3285501301288605,,
,0.0003,33345,,,,
95,,33695,,,0.7232000231742859,0.9859177470207214
95,,33695,0.8851495981216431,0.31748658418655396,,
,0.0003,33696,,,,
96,,34046,,,0.724399983882904,1.0043612718582153
96,,34046,0.88726407289505,0.3168255686759949,,
,0.0003,34047,,,,
97,,34397,,,0.7235999703407288,0.9995954036712646
97,,34397,0.8890224099159241,0.3139140009880066,,
,0.0003,34398,,,,
98,,34748,,,0.7324000000953674,0.981925368309021
98,,34748,0.8911369442939758,0.3072773516178131,,
,0.0003,34749,,,,
99,,35099,,,0.730400025844574,0.9881152510643005
99,,35099,0.8894675970077515,0.30519187450408936,,
