class_index,class_name,total,correct,accuracy
0,airplane,1000,850,0.85
1,automobile,1000,809,0.809
2,bird,1000,560,0.56
3,cat,1000,519,0.519
4,deer,1000,605,0.605
5,dog,1000,607,0.607
6,frog,1000,851,0.851
7,horse,1000,837,0.837
8,ship,1000,816,0.816
9,truck,1000,826,0.826
