experiment,label,family,patch_size,token_count,capacity,test_acc,test_loss,best_val_acc,num_parameters,training_time_seconds,training_time_readable,final_train_acc,final_val_acc,final_train_loss,final_val_loss,final_train_val_gap
cnn_baseline_e100,CNN baseline,cnn_vs_vit,,,,0.8663,0.46393705778121946,0.8705999851226807,559178,791.248616695404,13m 11s,0.9601362347602844,0.866599977016449,0.1139319464564323,0.4969191551208496,0.09353625774383545
vit_baseline_e100,ViT baseline / p4,baseline,4.0,64.0,base,0.7584,1.0355583785057068,0.7613999843597412,3195146,1902.2553477287292,31m 42s,0.941417396068573,0.7613999843597412,0.1643474400043487,1.014406681060791,0.1800174117088318
twist_autoaugment_e100,ViT + AutoAugment,twist,4.0,64.0,base,0.8209,0.532547456073761,0.8248000144958496,3195146,2301.7534561157227,38m 21s,0.7678730487823486,0.8248000144958496,0.6537348031997681,0.5130242705345154,-0.05692696571350098
twist_meanpool_e100,ViT + mean pooling,twist,4.0,64.0,base,0.7447,0.8970761125564575,0.7585999965667725,3194634,1862.288278579712,31m 2s,0.9553285241127014,0.7369999885559082,0.1272633820772171,1.2257397174835205,0.2183285355567932
patch_p2_e100,Patch size 2,patch,2.0,256.0,,0.7473,0.9333493423461914,0.7598000168800354,3235082,5689.900632858276,1h 34m 49s,0.9597578644752502,0.7519999742507935,0.1132937595248222,1.1748325824737549,0.2077578902244568
patch_p8_e100,Patch size 8,patch,8.0,16.0,,0.723,0.9949590200424194,0.7324000000953674,3219722,2018.2304215431213,33m 38s,0.8911369442939758,0.730400025844574,0.3072773516178131,0.9881152510643004,0.16073691844940186
capacity_small_e100,Small ViT,capacity,,,small,0.728,0.7951563643455506,0.7346000075340271,413706,1247.9402024745941,20m 47s,0.7607282996177673,0.7319999933242798,0.668043315410614,0.8157209157943726,0.02872830629348755
capacity_large_e100,Large ViT,capacity,,,large,0.7556,1.0572783500671388,0.7692000269889832,9519754,2709.8715918064117,45m 9s,0.9637642502784728,0.7608000040054321,0.1045868396759033,1.1671020984649658,0.20296424627304066
