class_index,class_name,total,correct,accuracy
0,airplane,1000,835,0.835
1,automobile,1000,940,0.94
2,bird,1000,816,0.816
3,cat,1000,561,0.561
4,deer,1000,773,0.773
5,dog,1000,765,0.765
6,frog,1000,859,0.859
7,horse,1000,896,0.896
8,ship,1000,895,0.895
9,truck,1000,869,0.869
