epoch,train_loss,train_acc,val_loss,val_acc
1,,,1.4344923496246338,0.4819999933242798
2,1.749670147895813,0.3605101406574249,1.317943811416626,0.5311999917030334
3,1.4440414905548096,0.4806801974773407,1.2208843231201172,0.5618000030517578
4,1.3319401741027832,0.5211004018783569,1.169114589691162,0.5735999941825867
5,1.2541545629501343,0.5488114356994629,1.1255689859390259,0.59579998254776
6,1.2064677476882935,0.5682647824287415,1.0991488695144653,0.6075999736785889
7,1.1535038948059082,0.5868055820465088,1.0727957487106323,0.6161999702453613
8,1.1243658065795898,0.5986467003822327,1.0376404523849487,0.6363999843597412
9,1.0780370235443115,0.6140491366386414,1.0023328065872192,0.6531999707221985
10,1.0528329610824585,0.6235755085945129,0.9875780344009399,0.6538000106811523
11,1.0253797769546509,0.6354612112045288,0.97699373960495,0.6466000080108643
12,1.000276803970337,0.6438524127006531,0.930722177028656,0.6759999990463257
13,0.9751846790313721,0.6521322727203369,0.9516041278839111,0.6665999889373779
14,0.9572118520736694,0.6586093306541443,0.8965336680412292,0.6845999956130981
15,0.9293925166130066,0.6697160005569458,0.8965204954147339,0.6814000010490417
16,0.9113956689834595,0.6738559603691101,0.8899623155593872,0.6890000104904175
17,0.8928555846214294,0.6820690631866455,0.8838703036308289,0.6923999786376953
18,0.8715181350708008,0.6914619207382202,0.8639668822288513,0.6944000124931335
19,0.8496867418289185,0.6969150900840759,0.8827371001243591,0.6937999725341797
20,0.8291477560997009,0.7047720551490784,0.8931947350502014,0.6904000043869019
