epoch,train_loss,train_acc,val_loss,val_acc
1,,,1.4538226127624512,0.47200000286102295
2,1.7058302164077759,0.37793803215026855,1.2959412336349487,0.5284000039100647
3,1.4071210622787476,0.48902687430381775,1.162050724029541,0.5831999778747559
4,1.2980433702468872,0.5308271050453186,1.1470037698745728,0.5843999981880188
5,1.2172621488571167,0.5623887181282043,1.0973403453826904,0.6140000224113464
6,1.1584951877593994,0.5815304517745972,1.0975967645645142,0.5985999703407288
7,1.1245428323745728,0.598179280757904,1.0496734380722046,0.6254000067710876
8,1.0897939205169678,0.6116007566452026,1.0114948749542236,0.6430000066757202
9,1.0495744943618774,0.6247551441192627,1.0205497741699219,0.6381999850273132
10,1.019612431526184,0.6373531222343445,0.967649519443512,0.6571999788284302
11,0.990794837474823,0.6450320482254028,0.9377375841140747,0.6633999943733215
12,0.9671755433082581,0.6543580889701843,0.9342187643051147,0.6672000288963318
13,0.9413819909095764,0.6640847325325012,0.915139377117157,0.682200014591217
14,0.916391909122467,0.674902081489563,0.9194629788398743,0.6711999773979187
15,0.9022900462150574,0.6798210740089417,0.9012873768806458,0.6790000200271606
16,0.873196005821228,0.6894364356994629,0.9204991459846497,0.6740000247955322
17,0.8548107743263245,0.6938434839248657,0.868177056312561,0.7013999819755554
18,0.8420474529266357,0.6987179517745972,0.8347841501235962,0.7049999833106995
19,0.8155617713928223,0.7076433300971985,0.8442950248718262,0.694599986076355
20,0.796115517616272,0.7182603478431702,0.8414912223815918,0.7057999968528748
