epoch,train_loss,train_acc,val_loss,val_acc
1,,,1.4674655199050903,0.4772000014781952
2,1.740714192390442,0.3704594075679779,1.3923200368881226,0.5081999897956848
3,1.4752671718597412,0.4635861814022064,1.316424012184143,0.5324000120162964
4,1.391756296157837,0.49788549542427063,1.253614902496338,0.5605999827384949
5,1.3285216093063354,0.5216791033744812,1.208759069442749,0.571399986743927
6,1.2833176851272583,0.5359908938407898,1.2202808856964111,0.5630000233650208
7,1.2467443943023682,0.5503472089767456,1.1686716079711914,0.5853999853134155
8,1.2115058898925781,0.5643251538276672,1.1429120302200317,0.5932000279426575
9,1.187944769859314,0.5735176205635071,1.1302361488342285,0.599399983882904
10,1.1572849750518799,0.5872061848640442,1.1244070529937744,0.5996000170707703
11,1.142393946647644,0.5881187915802002,1.134411334991455,0.5982000231742859
12,1.1147781610488892,0.5996928215026855,1.0668729543685913,0.6237999796867371
13,1.089979648590088,0.6112223863601685,1.0520294904708862,0.6294000148773193
14,1.0767910480499268,0.6139823794364929,1.0568299293518066,0.6338000297546387
15,1.0526031255722046,0.622885525226593,1.0517016649246216,0.6287999749183655
16,1.0356435775756836,0.6289619207382202,1.0293653011322021,0.6349999904632568
17,1.0173360109329224,0.6378650069236755,1.017486810684204,0.6442000269889832
18,1.0028177499771118,0.6406695246696472,1.0233800411224365,0.6420000195503235
19,0.9818291068077087,0.6494613885879517,1.0067769289016724,0.6514000296592712
20,0.96275395154953,0.6560051441192627,1.0051171779632568,0.651199996471405
