class_index,class_name,total,correct,accuracy
0,airplane,1000,815,0.815
1,automobile,1000,805,0.805
2,bird,1000,613,0.613
3,cat,1000,546,0.546
4,deer,1000,634,0.634
5,dog,1000,637,0.637
6,frog,1000,786,0.786
7,horse,1000,801,0.801
8,ship,1000,787,0.787
9,truck,1000,806,0.806
