epoch,train_loss,train_acc,val_loss,val_acc
1,,,1.6390329599380493,0.39160001277923584
2,2.063005208969116,0.23642271757125854,1.4817774295806885,0.4625999927520752
3,1.8424925804138184,0.3283030688762665,1.3823552131652832,0.5080000162124634
4,1.7390269041061401,0.3693687617778778,1.3093969821929932,0.526199996471405
5,1.6736246347427368,0.38904470205307007,1.2696113586425781,0.5475999712944031
6,1.6228266954421997,0.4110131859779358,1.2222076654434204,0.5633999705314636
7,1.578314185142517,0.42694979906082153,1.199785828590393,0.5666000247001648
8,1.5434764623641968,0.4415731728076935,1.1810697317123413,0.5781999826431274
9,1.5013794898986816,0.4582888185977936,1.1875321865081787,0.5666000247001648
10,1.4760547876358032,0.469195157289505,1.110315203666687,0.597599983215332
11,1.4408413171768188,0.4780315160751343,1.087025761604309,0.6079999804496765
12,1.4189214706420898,0.4885149598121643,1.0951757431030273,0.6051999926567078
13,1.394697904586792,0.4974181056022644,1.0366603136062622,0.6276000142097473
14,1.3673882484436035,0.5104166865348816,1.006039023399353,0.6359999775886536
15,1.3487117290496826,0.5138666033744812,0.9717006087303162,0.6514000296592712
16,1.3111122846603394,0.5295806527137756,0.9735718965530396,0.6531999707221985
17,1.307023525238037,0.530003547668457,0.9594829082489014,0.6503999829292297
18,1.283735990524292,0.5423121452331543,0.9674826860427856,0.6510000228881836
19,1.2642102241516113,0.5469195246696472,0.9365255832672119,0.6654000282287598
20,1.2469831705093384,0.5547320246696472,0.9130374789237976,0.6669999957084656
