class_index,class_name,total,correct,accuracy
0,airplane,1000,883,0.883
1,automobile,1000,944,0.944
2,bird,1000,801,0.801
3,cat,1000,770,0.77
4,deer,1000,845,0.845
5,dog,1000,754,0.754
6,frog,1000,933,0.933
7,horse,1000,893,0.893
8,ship,1000,907,0.907
9,truck,1000,933,0.933
