epoch,train_loss,train_acc,val_loss,val_acc
1,,,1.2842020988464355,0.5248000025749207
2,1.4485985040664673,0.47774216532707214,1.5129809379577637,0.48980000615119934
3,1.0828707218170166,0.6183671355247498,1.0247186422348022,0.6376000046730042
4,0.9204156398773193,0.678441047668457,1.1537084579467773,0.5961999893188477
5,0.8227481842041016,0.7130964994430542,0.79523766040802,0.7166000008583069
6,0.7468163371086121,0.7385149598121643,0.7944166660308838,0.7184000015258789
7,0.6970654129981995,0.7591702342033386,0.7170186638832092,0.7454000115394592
8,0.6492431163787842,0.7753071784973145,0.7306960225105286,0.7444000244140625
9,0.6155813336372375,0.7868812084197998,0.6681943535804749,0.7692000269889832
10,0.5803767442703247,0.8016381859779358,0.6737512946128845,0.7694000005722046
11,0.5587375164031982,0.8054665327072144,0.6422712802886963,0.7728000283241272
12,0.5323670506477356,0.8168625235557556,0.5493677258491516,0.8126000165939331
13,0.5081039667129517,0.82634437084198,0.5541597604751587,0.803600013256073
14,0.48926863074302673,0.8317753076553345,0.5790898203849792,0.8046000003814697
15,0.4712356626987457,0.8376513719558716,0.5550026297569275,0.8073999881744385
16,0.45896729826927185,0.8421697020530701,0.6043676733970642,0.8009999990463257
17,0.44392889738082886,0.8465322256088257,0.6996344923973083,0.7811999917030334
18,0.4310011863708496,0.8541443943977356,0.5960761308670044,0.7986000180244446
19,0.41803473234176636,0.8564147353172302,0.5730790495872498,0.8080000281333923
20,0.40206608176231384,0.8621572256088257,0.501650333404541,0.8320000171661377
